"file","survey_area","state","issue_date","caption"
"AZ-2011-05-27-27.tif","Pima County, Eastern Part","AZ","2003","Typical soil and landscape relationship in the San Pedro River Valley (Soil Survey of Pima County, Arizona, Eastern Part; 2003)."
"AZ-2011-05-27-28.tif","Pinal County, Western Part","AZ","1991","Generalized relationship of some soils in the survey area (Soil Survey of Pinal County, Arizona, Western Part; 1991). "
"AZ-2011-05-27-29.tif","Tohono O'odham Nation","AZ","1999","Generalized relationship of some very warm (hyperthermic) soils in the survey area (Soil Survey of Tohono O'oodham Nation, Arizona; 1999)."
"AZ-2011-05-27-30.tif","Tohono O'odham Nation","AZ","1999","Generalized relationship of some warm (thermic) soil map units (Soil Survey of Tohono O'oodham Nation, Arizona; 1999)."
"AZ-2011-05-27-31.tif","Tohono O'odham Nation","AZ","1999","Pattern of soil map units on the thermic-hyperthermic break (Soil Survey of Tohono O'oodham Nation, Arizona; 1999)."
"AZ-2012-05-09-01.tif","Colorado River Indian Reservation","AZ, CA","November 1986","Soil landscape profile (Soil Survey of Colorado River Indian Reservation, Arizona—California; November 1986)."
"CA-2010-08-30-01.tif","Tahoe Basin Area, California and Nevada","CA, NV","2007","Representative diagram of the Meiss Meadow area (not to scale). The Sky-Callat general soil map unit is in this area (Soil Survey of the Tahoe Basin Area, California and Nevada; 2007)."
"CA-2010-08-30-02.tif","Tahoe Basin Area, California and Nevada","CA, NV","2007","Representative diagram of the Blackwood Canyon area (not to scale). The Waca-Ellispeak general soil map unit is in this area (Soil Survey of the Tahoe Basin Area, California and Nevada; 2007)."
"CA-2010-08-30-03.tif","Tahoe Basin Area, California and Nevada","CA, NV","2007","Representative diagram of the Freel Peak area (not to scale). The Whittell-Jobsis-Rock outcrop general soil map unit is in this area (Soil Survey of the Tahoe Basin Area, California and Nevada; 2007)."
"CA-2010-08-30-04.tif","Stanislaus County, Northern Part","CA","2007","Typical pattern of soils and parent materials on the eastern side of the San Joaquin Valley and in the low hills of the metamorphic belt region of the Sierra Nevada Mountains. Consolidated parent materials are in the hills (Soil Survey of Stanislaus County, California, Northern Part; 2007)."
"CA-2010-08-30-05.tif","Colusa County","CA","2006","Typical pattern of soils on the western edge of the Sacramento Valley and on the Coast Range foothills (Soil Survey of Colusa County, California)."
"CA-2010-08-30-06.tif","Colusa County","CA","2006","Typical pattern of soils along the Sacramento River, near the city of Colusa (Soil Survey of Colusa County, California; 2006)."
"CA-2010-08-30-08.tif","Benton-Owens Valley Area, Parts of Inyo and Mono Counties","CA","2002","Typical pattern of soils on the eastern side of the Owens Valley and in the Inyo Mountains (Soil Survey of Benton-Owens Valley Area, California, Parts of Inyo and Mono Counties; 2002)."
"CA-2010-08-30-09.tif","Benton-Owens Valley Area, Parts of Inyo and Mono Counties","CA","2002","Typical pattern of soils on the volcanic tablelands and in the Benton range (Soil Survey of Benton-Owens Valley Area, California, Parts of Inyo and Mono Counties; 2002)."
"CA-2010-08-30-10.tif","Benton-Owens Valley Area, Parts of Inyo and Mono Counties","CA","2002","Typical pattern of soils in the Mono Basin Area from the Bodie Hills south towards Mono Lake (Soil Survey of Benton-Owens Valley Area, California, Parts of Inyo and Mono Counties; 2002)."
"CA-2010-08-30-11.tif","Benton-Owens Valley Area, Parts of Inyo and Mono Counties","CA","2002","Typical pattern of soils in the Adobe Valley area from the Adobe Hills southwest to the valley floor (Soil Survey of Benton-Owens Valley Area, California, Parts of Inyo and Mono Counties; 2002)."
"CA-2011-05-27-03.tif","Mendocino County, Eastern Part, and Trinity County, Southwestern Part","CA","1991","Pattern of active, metastable, and stable slopes (Soil Survey of Mendocino County, Eastern Part, and Trinity County, Southwestern Part, California; 1991)."
"CA-2011-05-27-04.tif","Mendocino County, Eastern Part, and Trinity County, Southwestern Part","CA","1991","Pattern of terraces in Ukiah Valley and adjacent mountains (Soil Survey of Mendocino County, Eastern Part, and Trinity County, Southwestern Part, California; 1991)."
"CA-2011-05-27-05.tif","Merced County, Western Part","CA","2002","Typical pattern of the soils and parent materials on the western side of the San Joaquin Valley and the low foothills of the Coast Range (Soil Survey of Merced County, California, Western Part; 2002)."
"CA-2011-05-27-06.tif","Merced County, Western Part","CA","2002","Typical pattern of the soils and parent materials on the mountains and foothills of the Coast Range (Soil Survey of Merced County, California, Western Part; 2002)."
"CA-2011-05-27-07.tif","Sacramento County","CA","1993","Idealized cross section of the geomorphic surface, soils, and geology south of the American River in Sacramento County. The vertical scale is exaggerated (Soil Survey of Sacramento County, California; 1993)."
"CA-2011-05-27-08.tif","Sacramento County","CA","1993","Cross section showing the relationship of geomorphic surfaces, soils, and geology in the eastern part of Sacramento County. The vertical scale is exaggerated. The number 1 indiates Deer Creek; 2, the Cosumnes River; 3, Arkansas Creek; and 4, the Sacramento- Amador County line (Soil Survey of Sacramento County, California; 1993)."
"CA-2011-05-27-09.tif","San Mateo County, Eastern Part, and San Francisco County","CA","1991","Idealized cross section of soils adjacient to the San Andreas Fault near Searsville Lake, in the southern part of San Mateo County (Soil Survey of San Mateo County, Eastern Part, and San Francisco County, California; 1991)."
"CA-2011-05-27-10.tif","San Mateo County, Eastern Part, and San Francisco County","CA","1991","Idealized cross section of soils near Redwood City, in the southeastern part of San Mateo County (Soil Survey of San Mateo County, Eastern Part, and San Francisco County, California; 1991)."
"CA-2012-04-20-01.tif","Channel Islands National Park","CA","2007","Looking northeast on Santa Cruz Island. The Santa Cruz Island fault runs east along Canada Christy. The various kinds of parent material are depicted (Soil Survey of Channel Islands National Park, California; 2007)."
"CA-2012-04-20-03.tif","Lassen Volcanic National Park","CA","2010","Block diagram 1. – This diagram shows a north flowing glacial valley in the Manzanita Creek drainage. Multiple glacial episodes and ice levels shaped this valley, leaving traces of features such as glacial-valley walls and floors, scoured lava flows, moraines and outwash plains. The more recent glaciations were generally less extensive and cut into and deposited over preexisting glacial features. Moraines and outwash plains formed as the gradient flattened beyond the confining bedrock of Lassen Peak and Loomis Peak. The active colluvial nature of Lassen Peak has shed many of the glacial features that were formed on it. Chaos Crags erupted and was emplaced after glaciations, obliterating any glacial features that existed there prior to the eruption. Thick deposits of tephra were deposited around the vent of dome A of Chaos Crags and covered a large area of the northern part of the park with thinner deposits. A rockfall avalanche formed at the base of the unstable volcanic dome of Chaos Crags. Debris flows from eruptions of Lassen Peak flowed off of the peak and were deposited in flat valley bottoms (Soil Survey of Lassen Volcanic National Park, California; 2010)."
"CA-2012-04-20-04.tif","Lassen Volcanic National Park","CA","2010","Block diagram 2. – This diagram shows the east flowing valleys of Hot Springs Creek and Kings Creek drainages. Multiple glacial episodes and ice levels shaped the valleys and the surrounding terrain, and formed glacial-valley walls and floors, scoured lava plateaus, glaciated volcanic domes, moraines and outwash plains. Ice level fluctuations caused glaciers to override the drainage divide between the valleys as well as exist as confined valley glaciers within the individual valleys. Outwash was deposited in the flat bottom of the U-shaped valley along Hot Springs Creek. Spring activity and stream channel migration have partially replaced the outwash plain (Soil Survey of Lassen Volcanic National Park, California; 2010)."
"CA-2012-04-20-05.tif","Lassen Volcanic National Park","CA","2010","Block diagram 3. – This diagram shows a north flowing glacial valley in the Grassy Creek drainage, and the surrounding glacially scoured uplands. Unconfined glaciers scoured the lava flows on the uplands, and deposited till in the valley below as they merged into partially confined north flowing glaciers. The glaciers did not completely cover Red Cinder, Ash Butte and Mount Hoffman. Red Cinder Cone and Ash Butte retained much of their cinder cone shape and composition, and Mount Hoffman formed a nunatak composed of remnants of the Dittmar Volcanic Center. Outwash was deposited in the lower flatter reach of the valley. The lake terraces are likely remnants of the fluctuations of a glacial lake. The lava flows from Cinder Cone obstructed the drainage to form Snag Lake (Soil Survey of Lassen Volcanic National Park, California; 2010)."
"CA-2012-04-20-06.tif","Pinnacles National Monument","CA","2008","View from west entrance of the monument, looking north. The soils formed in granite. The detailed soil map unit symbols and boundaries are shown in white (Soil Survey of Pinnacles National Monument, California; 2008)."
"CA-2012-04-20-07.tif","Pinnacles National Monument","CA","2008","View from North Chalone Peak Trail, looking northeast. The soils in the foreground formed in volcanic rock, and those in the background formed in fanglomerate. The detailed soil map unit symbols and boundaries are shown in white (Soil Survey of Pinnacles National Monument, California; 2008)."
"CA-2012-04-20-08.tif","Pinnacles National Monument","CA","2008","View from North Chalone Peak, looking north to Bear Creek below and Harkins Peak on near horizon. The soils formed in rhyolitic breccia. The detailed soil map unit symbols and boundaries are shown in white (Soil Survey of Pinnacles National Monument, California; 2008)."
"CA-2012-04-20-09.tif","Pinnacles National Monument","CA","2008","Block diagram relating soils, landforms, and geology (Soil Survey of Pinnacles National Monument, California; 2008)."
"CA-2012-04-20-11.tif","Redwood National and State Parks","CA","2008","Block diagram 1. Generalized pattern of soil distribution and conceptualized geology in the Mill Creek and Rock Creek watersheds viewed from the Pacific Ocean southeast towards Childs Hill and Rattlesnake Mountain (Soil Survey of Redwood National and State Parks, California; 2008)."
"CA-2012-04-20-12.tif","Redwood National and State Parks","CA","2008","Block diagram 2. Generalized pattern of soil distribution and conceptualized geology in the Lost Man, May, and Prairie Creek watersheds viewed from Holter Ridge area northwest towards Gold Bluffs beach and the Pacific Ocean (Soil Survey of Redwood National and State Parks, California; 2008)."
"CA-2012-04-20-13.tif","Redwood National and State Parks","CA","2008","Block diagram 3. Generalized pattern of soil distribution and conceptualized geology in the Redwood Creek watershed viewed from the Hog Prairie area north towards Harry Weir Creek (Soil Survey of Redwood National and State Parks, California; 2008)."
"CA-2012-04-20-14.tif","Redwood National and State Parks","CA","2008","Block diagram 4. Generalized pattern of soil distribution and conceptualized geology in the Lacks Creek watershed viewed from the Faulkner Prairie area northeast towards Arbor Camp Ridge (Soil Survey of Redwood National and State Parks, California; 2008)."
"CA-2012-05-08-02.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 1.—This diagram shows the mouth of Big Chico Creek Canyon, where the creek transitions from its steeper foothill reach to its flatter Sacramento Valley reach in Bidwell Park. The creek has cut through the volcanic Tuscan Formation and is now cutting through hard Lovejoy basalt. The resistant Lovejoy basalt confines the stream channel, and a narrow slot canyon has formed at the bottom of the wider Tuscan Canyon. As the creek leaves the confinement of the slot canyon and enters the flatter topography of the valley, the energy of the water decreases, causing sediment to be deposited. As sediment fills the channel, the channel begins to move laterally. The channel slowly migrates away from the sediment deposits, allowing the sediment to form into alluvial soils (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-03.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 2.—This diagram shows a portion of the Table Mountain area, the result of stream erosion slowly cutting away basalt flow rock, exposing the underlying Ione Formation. The sediment produced from this downcutting is transported downstream to flatter surrounding areas and over time is deposited and forms alluvial soils on various alluvial landforms (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-04.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 3.—This diagram shows the interface of the Northern Sierra Nevada and Southern Cascade Mountains. Volcanic flows moved down the canyon of the West Branch of the Feather River, burying Sierra Nevada rocks, and partially filled the canyon, forming a volcanic plain. Subsequent geologic erosion has cut away the original plain of volcanic rocks and has left remnants surrounded by steep canyons. The area of alluvium shown near the bottom of the diagram is a bar of sediment deposited in the flatter volcanic reach below the steeper metamorphic reach (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-05.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 4.—This diagram shows the topographic difference between some of the volcanic Cascade and metamorphic Sierra Nevada landforms. Stream channels cut across the grain of the nearly vertically oriented metamorphic Sierra Nevada rocks. The resistance of the metamorphic rocks deflects the stream from side to side, forming an irregular topography. The volcanic flows traveled horizontally and buried the Sierra Nevada rocks, forming a dissected plateau (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-06.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 5.—This diagram shows the relationships between the Cascade volcanic flows and the metamorphic and granitic Sierra Nevada rocks. The flatter volcanic flows on the left buried the folded metamorphic rocks in the middle. The uniform intrusive igneous rocks weather to soils that are less resistant to geologic erosion and produce subtle, more evenly developed relief (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-07.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 6.—This diagram shows the transition from the volcanic foothills to the flatter topography of the strath terraces adjacent to the Sacramento Valley. In the steeper upper reaches, the stream channels are confined on the canyon bottoms and begin to migrate laterally as the gradient decreases. As the stream channels meander with lower energy, they deposit sediment, forming various alluvial soils and landforms over time (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-08.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 7.—This diagram shows a series of glacial moraines. Early glaciers scoured and partially removed the original volcanic flows and produced glacial till derived mostly from volcanic rocks. Subsequent glaciers formed on the exposed underlying pluton and produced glacial till derived mostly from intrusive igneous rocks (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-09.tif","Butte Area, Parts of Butte and Plumas Counties","CA","2006","Block diagram 8.—This diagram shows the stretch of Butte Creek Canyon where the creek has cut through volcanic flows, exposing underlying marine sedimentary rocks and Sierran metamorphic rocks. The upstream portion of the marine sedimentary rocks is conglomerate, the gravelly and cobbly facies. The downstream portion is sandstone, the sand facies. The conglomerate erodes one clast at a time and forms steep ravines. The sandstone holds water and often gives way in landslides and becomes buried by the colluvium from the rocks above (Soil Survey of Butte Area, California, Parts of Butte and Plumas Counties; 2006)."
"CA-2012-05-08-17.tif","Alameda Area","CA","March 1966","The relationship of geologic formations, landforms, and soil series in the Alameda Area (Soil Survey of Alameda Area, California; March, 1966)."
"CA-2012-05-08-19.tif","San Luis Obispo
County, Carrizo Plain Area","CA","2003","Idealized cross-section of the Carrizo Plain showing soil-landscape-geology relationships (Soil Survey of San Luis Obispo County, California, Carrizo Plain Area; 2003)."
"CA-2012-05-08-20.tif","San Luis Obispo
County, Carrizo Plain Area","CA","2003","Idealized cross-section of the northwestern part of the survey area, showing soil-landscape-geology relationships (Soil Survey of San Luis Obispo County, California, Carrizo Plain Area; 2003)."
"CA-2012-05-09-04.tif","Fresno County, Western Part","CA","2006","Typical pattern of soils, landforms, and parent material on the western side of the San Joaquin Valley and the low hills and mountains of the California Coast Ranges (Soil Survey of Fresno County, California, Western Part; 2006)."
"CA-2012-05-09-05.tif","Fresno County, Western Part","CA","2006","Typical pattern of soils, landforms, and parent material on the hills and mountains of the California Coast Ranges near Coalinga. Geologic formations from Fowkes, 1982 (Soil Survey of Fresno County, California, Western Part; 2006)."
"CA-2012-05-09-12.tif","Kern County, Northeastern Part, and Southeastern Part of Tulare County","CA","2007","Map units in Short Canyon. Soil formation is affected by erosion from the mountains and deposition onto alluvial fans in map unit 242 (Inyo gravelly loamy coarse sand, 5 to 15 percent slopes) (Soil Survey of Kern County, Northeastern Part, and Southeastern Part of Tulare County, California; 2007)."
"CA-2012-05-09-13.tif","Kern County, Northeastern Part, and Southeastern Part of Tulare County","CA","2007","Chollawell soils in map units 245, 246, and 505 (Soil Survey of Kern County, Northeastern Part, and Southeastern Part of Tulare County, California; 2007)."
"CA-2012-05-09-14.tif","Kern County, Southwest Part","CA","2009","Soil, landscape, and stratigraphy model of the Buena Vista Lake Basin (Soil Survey of Kern County, California, Southwest Part; 2009)."
"CA-2012-05-09-16.tif","San Mateo Area","CA","May 1961","Southwest to northeast cross section, at Pigeon Point, showing relationship of geologic formations, land forms, and soil series. Prepared by R. J. Arkley, University of California, Department of Soils and Plant Nutritions (Soil Survey of San Mateo Area, California; May 1961)."
"CO-2010-09-28-01.tif","Ute Mountain Area","CO, NM","2007","Typical soils and their landscape positions in the Ute Mountain Area Soil Survey (Soil Survey of Ute Mountain Area, Colorado and New Mexico; 2007)."
"CO-2011-05-27-01.tif","Bent County","CO","1971","Representative pattern of soils and underlying materials in associations 3 (Soil Survey of Bent County, Colorado; 1971)."
"CO-2011-05-27-02.tif","Bent County","CO","1971","Representative pattern of soils and underlying materials in association 3 (Soil Survey of Bent County, Colorado; 1971)."
"CO-2011-05-27-03.tif","Bent County","CO","1971","Representation pattern of soil and underlying materials in association 5 (Soil Survey of Bent County, Colorado; 1971)."
"CO-2011-05-27-04.tif","Crowley County","CO","1968","Relationship of soils to typography and underlying material in association 2 (Soil Survey of Crowley County, Colorado; 1968)."
"CO-2011-05-27-05.tif","Crowley County","CO","1968","Relationship of soils to typography and underlying material in association 3 (Soil Survey of Crowley County, Colorado; 1968)."
"CO-2011-05-27-06.tif","Crowley County","CO","1968","Relationship of soils to typography and underlying material in association 5 (Soil Survey of Crowley County, Colorado; 1968)."
"CO-2011-05-27-07.tif","Otero County","CO","1972","Volney-Olney-Dwyer association; part of Minnequa-Penrose soil association in background (Soil Survey of Otero County, Colorado; 1972)."
"CO-2011-05-27-08.tif","Otero County","CO","1972","Minnequa-Penrose association (Soil Survey of Otero County, Colorado; 1972)."
"CO-2011-05-27-09.tif","Otero County","CO","1972","Travessilla-Kim-Wiley soil association (Soil Survey of Otero County, Colorado; 1972)."
"CO-2011-05-27-10.tif","Otero County","CO","1972","Rocky Ford-Numa-Kornman soil association (Soil Survey of Otero County, Colorado; 1972)."
"CO-2011-05-27-11.tif","Otero County","CO","1972","Cross section of Otero County showing relief, drainage, and relation of soils to underlying geologic formations (Soil Survey of Otero County, Colorado; 1972)."
"CO-2011-05-27-12.tif","Phillips County","CO","1971","Typical landscape of the Rago-Platner-Kuma association showing the major soils and the minor Wages, Eckley, and Dix soils (Soil Survey of Phillips County, Colorado; 1971)."
"CO-2011-05-27-13.tif","Phillips County","CO","1971","Cross section of Phillips County showing relationship of major soils to parent materials (Soil Survey of Phillips County, Colorado; 1971)."
"CO-2011-05-27-14.tif","Prowers County","CO","1966","Main soils and underlying materials in soil association 1 (Soil Survey of Prowers County, Colorado; 1966). "
"CO-2011-05-27-15.tif","Prowers County","CO","1966","Main soils and underlying materials in soil association 2 (Soil Survey of Prowers County, Colorado; 1966). "
"CO-2011-05-27-16.tif","Prowers County","CO","1966","Main soils and underlying materials in soil association 5 (Soil Survey of Prowers County, Colorado; 1966). "
"CO-2011-05-27-17.tif","Prowers County","CO","1966","Soils on bottom lands and terraces, and the underlying materials of soil association 7 (Soil Survey of Prowers County, Colorado; 1966). "
